Id,Type,ReportID,RandType,TID,TargetCount,Score,RewardType,RewardCount,LVMin,LVMax,RandRate,,
任务序号,任务编号,埋点上报,任务随机类型,多语言,目标数量,获得积分,获得奖励类型,数量,最小等级,最大等级,概率/数量,任务描述,备注
100101,1001,140,1,dailytask_tips1,1,5,-1,,,,,今日登录,
100201,1002,141,1,dailytask_tips2,1,5,3,1,,7,,等级提升*级,音乐-等级
100301,1003,142,2,faded_task_text1,3,5,88,2,2,,20,累计转盘*次,转盘
100302,1003,143,2,faded_task_text1,4,5,3,2,2,,20,累计转盘*次,转盘
100303,1003,184,2,faded_task_text1,2,5,88,1,2,,20,累计转盘*次,转盘
100401,1004,144,2,dailytask_tips6,2,5,-1,,3,,10,使用护盾道具*次,音乐-等级
100501,1005,145,2,dailytask_tips8,2,5,-1,,3,,10,使用减速道具*次,音乐-等级
100601,1006,146,2,dailytask_tips7,2,5,-1,,3,,10,使用冲刺道具*次,音乐-等级
100701,1007,147,2,dailytask_tips5,15,5,-1,,,3,20,消耗*个体力,音乐-等级
100702,1007,148,2,dailytask_tips5,20,5,-1,,4,29,20,消耗*个体力,音乐-等级
100703,1007,149,2,dailytask_tips5,30,5,89,200,30,,20,消耗*个体力,音乐-等级
100801,1008,150,2,dailytask_tips3,1,5,88,2,,5,20,解锁*首精选歌曲,点击【前往】跳转 音乐-精选tab
100802,1008,151,2,dailytask_tips3,2,5,88,5,6,,20,解锁*首精选歌曲,点击【前往】跳转 音乐-精选tab
100803,1008,152,2,dailytask_tips3,3,10,88,5,6,,20,解锁*首精选歌曲,点击【前往】跳转 音乐-精选tab
100901,1009,153,2,Desp_task_text2,10,5,-1,,,5,10,累计获得*个星星,音乐-等级
100902,1009,154,2,Desp_task_text2,20,5,-1,,6,,10,累计获得*个星星,音乐-等级
101001,1010,155,2,faded_task_text3,2,5,-1,,,5,10,累计获得*个皇冠,音乐-等级
101002,1010,156,2,faded_task_text3,4,10,-1,,6,10,10,累计获得*个皇冠,音乐-等级
101003,1010,157,2,faded_task_text3,6,10,-1,,11,,10,累计获得*个皇冠,音乐-等级
101101,1011,158,2,dailytask_tips4,1,5,88,1,2,5,20,消耗*个钻石,点击【前往】跳转 音乐-精选tab-未解锁钻石歌曲
101102,1011,159,2,dailytask_tips4,5,5,88,1,6,10,20,消耗*个钻石,点击【前往】跳转 音乐-精选tab-未解锁钻石歌曲
101103,1011,160,2,dailytask_tips4,10,5,88,2,11,20,20,消耗*个钻石,点击【前往】跳转 音乐-精选tab-未解锁钻石歌曲
101104,1011,161,2,dailytask_tips4,15,10,88,3,21,,20,消耗*个钻石,点击【前往】跳转 音乐-精选tab-未解锁钻石歌曲
101105,1011,162,2,dailytask_tips4,20,10,88,3,21,,20,消耗*个钻石,点击【前往】跳转 音乐-精选tab-未解锁钻石歌曲
101201,1012,163,2,dailytask_tips11,1,5,-1,,10,15,10,挑战高手赛*次,挑战-手速tab
101202,1012,164,2,dailytask_tips11,3,10,-1,,16,,10,挑战高手赛*次,挑战-手速tab
101301,1013,165,2,dailytask_tips12,1,5,-1,,30,35,10,挑战大师赛*次,挑战-手速tab
101302,1013,166,2,dailytask_tips12,3,10,-1,,36,49,10,挑战大师赛*次,挑战-手速tab
101303,1013,183,2,dailytask_tips12,5,10,0,2,50,,,挑战大师赛*次,挑战-手速tab
101401,1014,167,2,dailytask_tips10,1,5,-1,,3,5,10,挑战新手赛*次,挑战-手速tab
101402,1014,168,2,dailytask_tips10,3,10,-1,,6,,10,挑战新手赛*次,挑战-手速tab
101501,1015,180,2,Alone_task_text6,2,5,2,1,,5,20,观看活动视频*次,看视频
101502,1015,181,2,Alone_task_text6,3,5,88,2,,,20,观看活动视频*次,看视频
101503,1015,182,2,Alone_task_text6,5,10,88,5,21,,10,观看活动视频*次,看视频