ActivityNo,ActivityTid,StageId,Mid,MName,UnlockScore,RewardItem,RewardDiamond,RewardCoin,RewardLife,
活动类型：1民谣 2古典 3流行 4活动,活动标题TID,关卡ID,歌曲ID,歌曲名,解锁条件（分数）,"奖励道具(道具ID,数量|...)",奖励钻石,奖励金币,奖励体力,
1,journey_activity_title1,101,100323,伦敦铁桥垮下来,420,,,,,
,,102,100363,松饼人,650,,,,,
,,103,100332,十个小印第安人,840,"0,1|3,1|2,1",5,,,
,,104,100341,我们同在一起,700,,,,,
,,105,100368,小熊上山,900,"0,1|1,2|2,2|3,1",10,,,
,,106,100621,小小汉斯,1000,,,,,
,,107,100243,第一个圣诞节,1000,,,,,
,,108,100043,赛马,1300,"0,2|1,2|2,2|3,2",15,,,
2,journey_activity_title2,201,100628,摇篮曲,500,,,,,
,,202,100097,少女的祈祷,700,,,,,
,,203,100162,哈巴涅拉舞曲,900,"0,1|3,1|2,2",5,,,
,,204,100112,甜蜜变奏曲,1000,,,,,
,,205,100410,悲怆奏鸣曲 第二章,950,"0,1|1,2|2,2|3,1",10,,,
,,206,100025,康康舞曲,1000,,,,,
,,207,100330,查尔达斯,1100,,,,,
,,208,100059,月光奏鸣曲  第三章,1100,"0,2|1,2|2,2|3,2",15,,,
3,journey_activity_title3,301,100956,黑白滤镜,600,,,,,
,,302,100957,别停留,700,,,,,
,,303,100792,今天过得好吗,900,"0,1|3,1|2,1",5,,,
,,304,100438,风动草,1100,,,,,
,,305,100461,四季-秋,1300,"0,1|1,2|2,2|3,1",10,,,
,,306,100793,吃遍世界的美食家,1050,,,,,
,,307,100259,荣耀歌,1000,,,,,
,,308,100433,筑梦,1300,"0,2|1,2|2,2|3,2",15,,,
4,journey_activity_title4,501,100956,黑白滤镜,600,,,,,三周年
,,502,100957,别停留,700,,,,,
,,503,100792,今天过得好吗,900,"0,1|3,1|2,1",5,,,
,,504,100791,忆未完,950,,,,,
,,505,100461,四季-秋,1300,"0,1|1,2|2,2|3,1",10,,,
,,506,100793,吃遍世界的美食家,1050,,,,,
,,507,100259,荣耀歌,1000,,,,,
,,508,100795,Love Song,1400,"0,2|1,2|2,2|3,2",15,,,