DayMaxCount,BuyMaxCount,BeginTime,EndTime,Mid,UnlockStar,NotificationTime,MainTitle,SubTitle,NotificationTitle,NotificationTitleArgs,NotificationContent,NotifictionContentArgs
每天挑战次数,每天购买次数,开始时间,结束时间,歌曲ID,解锁条件（星级）,通知栏时间,大标题,副标题,通知栏主标题,通知栏主标题参数,通知栏副标题,通知栏副标题参数
10,5,2017-9-20 00:00:00,2017-9-21 23:59:59,100620,3,2017-9-20 12:00:00,challenge_title_1,,challenge_nf_m2,challenge_times_2,challenge_nf_s7,
,,2017-9-27 00:00:00,2017-9-28 23:59:59,100486,3,2017-9-27 12:00:00,challenge_title_5,,challenge_nf_m2,challenge_times_1,challenge_nf_s5,
,,2017-10-4 00:00:00,2017-10-5 23:59:59,100323,3,2017-10-4 12:00:00,challenge_title_4,,challenge_new2,,challenge_nf_s6,
,,2017-10-11 00:00:00,2017-10-12 23:59:59,100248,1,2017-10-11 12:00:00,challenge_title_7,,challenge_nf_m2,challenge_times_4,challenge_nf_s5,
,,2017-10-18 00:00:00,2017-10-19 23:59:59,100214,3,2017-10-18 12:00:00,challenge_title_3,,challenge_title_3s,,challenge_nf_s2,
,,2017-10-25 00:00:00,2017-10-26 23:59:59,100053,3,2017-10-25 12:00:00,challenge_title_6,,challenge_title_6s,,challenge_nf_s7,
,,2017-11-1 00:00:00,2017-11-2 23:59:59,100428,3,2017-11-1 12:00:00,challenge_title_9,,challenge_nf_m3,,challenge_nf_s9,
,,2017-11-8 00:00:00,2017-11-9 23:59:59,100409,3,2017-11-8 12:00:00,challenge_title_5,,challenge_title_5s,,challenge_nf_s2,
,,2017-11-15 00:00:00,2017-11-16 23:59:59,100320,3,2017-11-15 12:00:00,challenge_title_4,,challenge_nf_m4,,challenge_nf_s10,
,,2017-11-22 00:00:00,2017-11-23 23:59:59,100073,3,2017-11-22 12:00:00,challenge_title_3,,challenge_nf_m2,challenge_times_3,challenge_nf_s8,
,,2017-11-29 00:00:00,2017-11-30 23:59:59,100192,1,2017-11-29 12:00:00,challenge_title_7,,challenge_nf_m2,challenge_times_5,challenge_nf_s8,
,,2017-12-6 00:00:00,2017-12-7 23:59:59,100591,3,2017-12-6 12:00:00,challenge_title_9,,challenge_nf_m5,,challenge_nf_s10,
,,2017-12-13 00:00:00,2017-12-14 23:59:59,100485,3,2017-12-13 12:00:00,challenge_title_5,,challenge_nf_m6,,challenge_nf_s4,
,,2017-12-20 00:00:00,2017-12-21 23:59:59,100332,3,2017-12-20 12:00:00,challenge_title_4,,challenge_new2,,challenge_nf_s6,
,,2017-12-27 00:00:00,2017-12-28 23:59:59,100230,3,2017-12-27 12:00:00,challenge_title_3,,challenge_nf_s3,challenge_times_1,challenge_nf_s11,
,,2018-1-3 00:00:00,2018-1-4 23:59:59,100141,1,2018-1-3 12:00:00,challenge_title_7,,challenge_nf_m2,challenge_times_2,challenge_nf_s5,
,,2018-1-10 00:00:00,2018-1-11 23:59:59,100255,3,2018-1-10 12:00:00,challenge_title_3,,challenge_nf_m3,,challenge_nf_s10,
,,2018-1-17 00:00:00,2018-1-18 23:59:59,100399,1,2018-1-17 12:00:00,challenge_title_7,,challenge_nf_m2,challenge_month_12,challenge_nf_s8,
,,2018-1-24 00:00:00,2018-1-25 23:59:59,100621,2,2018-1-24 12:00:00,challenge_title_4,,challenge_nf_m4,,challenge_nf_s10,
,,2018-1-31 00:00:00,2018-2-1 23:59:59,100557,1,2018-1-31 12:00:00,challenge_title_8,,challenge_nf_s2,,challenge_nf_s5,
,,2018-2-7 00:00:00,2018-2-8 23:59:59,100437,3,2018-2-7 12:00:00,challenge_title_9,,challenge_nf_m3,,challenge_nf_s9,
,,2018-2-14 00:00:00,2018-2-15 23:59:59,100597,2,2018-2-14 12:00:00,challenge_title_7,,challenge_nf_m2,challenge_month_7,challenge_nf_s8,
,,2018-2-21 00:00:00,2018-2-22 23:59:59,100715,3,2018-2-21 12:00:00,challenge_title_10,,challenge_nf_m6,,challenge_nf_s4,
,,2018-2-28 00:00:00,2018-3-1 23:59:59,100390,3,2018-2-28 12:00:00,challenge_title_3,,challenge_nf_s3,challenge_month_7,challenge_nf_s11,
,,2018-3-7 00:00:00,2018-3-8 23:59:59,100558,1,2018-3-7 12:00:00,challenge_title_8,,challenge_nf_s2,,challenge_nf_s5,
,,2018-3-14 00:00:00,2018-3-15 23:59:59,100373,3,2018-3-14 12:00:00,challenge_title_4,,challenge_nf_m4,,challenge_nf_s10,
,,2018-3-21 00:00:00,2018-3-22 23:59:59,100714,3,2018-3-21 12:00:00,challenge_title_10,,challenge_new2,,challenge_nf_s5,